Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+08 (cm-3) 
165.0 to 295.0 Angstroms
Number of lines:  4124
Minimum intensity =    2.4893286e-06
Units are:  erg cm-2 sr-1 s-1
Calculated: 13/May/22 14:39:16

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   1.38038e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 
166.3880     5.03e-06 Ar VII        5.60   3p2 3P0 - 3p 5s 1P1
166.4150     8.08e-03 Ca IX         5.80   3p2 3P2 - 3p 4s 3P2
166.4480     4.61e-04 Ca IX         5.80   3p2 3P1 - 3p 4s 3P1
166.6230     5.47e-05 Ar VII        5.60   3s 3p 3P2 - 3s 5s 3S1
166.6280     1.08e-05 Cl XI         6.05   2s2.2p3 2D5/2 - 2s.2p4 2P3/2
166.6410     2.30e-03 O IV          5.35   2s2 2p 2P1/2 - 2p2 3s 2D3/2
166.6490     4.43e-06 Ar VII        5.60   3p2 3P1 - 3p 5s 1P1
166.7160     2.86e-05 Ar IX         5.95   2s2 2p5 3p 3P2 - 2s 2p6 3p 3P1
166.7450     4.41e-03 O IV          5.35   2s2 2p 2P3/2 - 2p2 3s 2D5/2
166.7480     5.49e-04 O IV          5.35   2s2 2p 2P3/2 - 2p2 3s 2D3/2
166.8000     1.79e-04 Ne V          5.55   2s2 2p2 1S0 - 2s2 2p 3p 1D2
166.8030     3.55e-06 Fe X          5.95   3s2 3p4 3d 2F7/2 - 3s2 3p4 4s 2P3/2
166.8570     2.49e-05 Fe X          5.95   3s2 3p4 3d 4F7/2 - 3s2 3p4 4s 4P5/2
166.8870     1.11e-02 Ni XII        6.00   3s2 3p5 2P1/2 - 3s2 3p4 3d 2S1/2
166.9460     1.19e-02 N V           5.35   1s2.2p 2P3/2 - 1s2.5d 2D5/2
166.9480     2.43e-02 Ca X          5.90   3d 2D3/2 - 4f 2F5/2
167.0140     2.21e-03 Fe VII        5.65   3p6 3d2 1S0 - 3p6 3d 4f 3D1
167.0460     4.68e-01 Fe VII        5.65   3p6 3d2 3F2 - 3p5 3d3(2P) 1P1
167.0490     3.49e-02 Ca X          5.90   3d 2D5/2 - 4f 2F7/2
167.0630     1.73e-03 Ca X          5.90   3d 2D5/2 - 4f 2F5/2
167.0740     1.01e-04 N IV          5.25   2s2 1S0 - 2p 4d 1P1
167.1460     2.03e-05 Ar VII        5.60   3p2 3P2 - 3p 5s 1P1
167.1480     9.04e-05 Ar VII        5.60   3p2 3P1 - 3p 5s 3P2
