Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+09 (cm-3) 
170.1 to 290.0 Angstroms
Number of lines:  2908
Minimum intensity =        192187.02
Units are:  photons cm-2 sr-1 s-1
Calculated: 04/Nov/21 16:07:40

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   2.81838e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 
172.1600     2.30e+05 Ni XIV         6.2   3s2.3p3 2D5/2 - 3s2.3p2(1D).3d 2D5/2
172.1690     2.64e+10 O V            5.4   2s2 1S0 - 2s 3p 1P1
172.3100     2.82e+09 Mg IV          5.4   2s2 2p5 2P1/2 - 2s2 2p4 3s 2D3/2
172.3880     2.53e+07 Ca IX          5.8   3p2 3P1 - 3p 4s 3P0
172.3990     1.73e+06 Ne VI          5.7   2p3 2P3/2 - 2s 2p 3p 2D5/2
172.4160     5.88e+06 Ne VI          5.7   2p3 2P1/2 - 2s 2p 3p 2D3/2
172.4290     1.46e+07 Ne VI          5.7   2p3 2P3/2 - 2s 2p 3p 2D3/2
172.7440     2.47e+06 Fe XI          6.0   3s2 3p4 3P2 - 3s2 3p3 3d 1D2
172.7590     1.77e+07 Fe X           5.9   3s 3p5 3d 4F3/2 - 3s2 3p4 4d 2D5/2
172.7920     1.11e+09 Fe IX          5.8   3s2 3p5 3d 3P2 - 3s2 3p4 3d2 3D2
172.8320     3.87e+08 Fe VII         5.7   3p6 3d2 3P0 - 3p5 3d3(2P) 1P1
172.9350     2.04e+10 O VI           5.6   1s2.2p 2P1/2 - 1s2.3d 2D3/2
172.9480     2.13e+08 Fe VII         5.7   3p6 3d2 3P1 - 3p5 3d3(2P) 1P1
173.0790     3.67e+10 O VI           5.6   1s2.2p 2P3/2 - 1s2.3d 2D5/2
173.0950     4.08e+09 O VI           5.6   1s2.2p 2P3/2 - 1s2.3d 2D3/2
173.2020     2.21e+08 Fe VII         5.7   3p6 3d2 3P2 - 3p5 3d3(2P) 1P1
173.2240     4.55e+09 Fe IX          5.8   3s2 3p5 3d 3P2 - 3s2 3p4 3d2 3D3
173.2520     4.26e+05 O V            5.4   2p2 1D2 - 2s 5f 1F3
173.2730     9.35e+05 N VI           6.0   1s.2s 1S0 - 1s.3p 1P1
173.2859     3.38e+07 C V            5.9   1s.2s 3S1 - 1s.4p 3P2
173.2904     2.65e+07 C V            5.9   1s.2s 3S1 - 1s.4p 3P0
173.2904     1.37e+07 C V            5.9   1s.2s 3S1 - 1s.4p 3P1
173.3220     1.01e+06 Ne V           5.6   2s 2p3 1D2 - 2s2 2p 4f 1D2
173.3720     6.25e+05 Fe XII         6.1   3s 3p3 3d 4D7/2 - 3s2 3p2 4s 4P5/2
173.3900     4.75e+06 Fe XII         6.1   3s2 3p3 4S3/2 - 3s2 3p2 3d 2F5/2
173.4270     4.10e+05 O IV           5.3   2s2 2p 2P3/2 - 2p2 3s 4P3/2
173.4420     2.89e+10 Fe VII         5.7   3p6 3d2 1G4 - 3p5 3d3(2H) 1G4
173.5720     6.89e+05 Na VIII        5.9   2s 3s 1S0 - 2s 5p 1P1
173.8000     5.43e+07 O IV           5.3   2s2 2p 2P1/2 - 2s 2p 4p 2P3/2
173.8200     2.88e+05 Ti XI          5.9   3s 3d 1D2 - 3s 4p 1P1
173.8520     1.04e+08 O IV           5.3   2s2 2p 2P1/2 - 2s 2p 4p 2P1/2
173.8559     7.05e+05 N VI           5.9   1s.2p 3P0 - 1s.3d 3D1
173.8583     5.28e+05 N VI           5.9   1s.2p 3P1 - 1s.3d 3D1
173.8583     1.54e+06 N VI           5.9   1s.2p 3P1 - 1s.3d 3D2
173.9160     2.61e+08 O IV           5.3   2s2 2p 2P3/2 - 2s 2p 4p 2P3/2
173.9180     2.41e+05 Ne V           5.6   2s 2p3 1D2 - 2s2 2p 4f 3G3
173.9280     5.37e+09 Ne V           5.6   2s2 2p2 1D2 - 2s2 2p 3s 1P1
173.9463     5.13e+05 N VI           5.9   1s.2p 3P2 - 1s.3d 3D2
173.9463     2.81e+06 N VI           5.9   1s.2p 3P2 - 1s.3d 3D3
173.9690     5.20e+07 O IV           5.3   2s2 2p 2P3/2 - 2s 2p 4p 2P1/2
174.0670     9.36e+05 Fe VII         5.7   3p6 3d2 1G4 - 3p5 3d3(4F) 3D3
174.1280     3.89e+05 Ar IX          5.9   2s2 2p5 3p 1S0 - 2s2 2p5 4d 1P1
174.2720     2.14e+06 Ne V           5.6   2s 2p3 1D2 - 2s2 2p 4f 1F3
174.4030     7.83e+05 K XII          6.1   2s2.2p4 3P2 - 2s.2p5 3P2
174.4290     1.92e+05 Ca IX          5.8   3p 3d 3F3 - 3p 4f 1G4
174.4540     6.02e+07 Ne VI          5.7   2p3 4S3/2 - 2s 2p 3p 4P5/2
174.5010     2.09e+05 Ca IX          5.8   3p 3d 3F2 - 3s 5d 3D1
174.5310     3.15e+11 Fe X           5.9   3s2 3p5 2P3/2 - 3s2 3p4 3d 2D5/2
174.5590     1.92e+09 O V            5.4   2s 2p 1P1 - 2s 4s 1S0
174.5830     4.20e+07 Ne VI          5.7   2p3 4S3/2 - 2s 2p 3p 4P3/2
174.6020     6.60e+07 N IV           5.2   2s2 1S0 - 2s 6p 1P1
174.6830     2.06e+07 Ne VI          5.7   2p3 4S3/2 - 2s 2p 3p 4P1/2
174.8940     6.40e+05 Na VI          5.8   2p4 1D2 - 2s 2p2 3p 1D2
175.0890     1.12e+06 O V            5.4   2p2 1D2 - 2s 5p 3P1
175.2100     2.04e+08 O V            5.4   2p2 1D2 - 2s 5p 1P1
175.2100     2.73e+05 Fe XIII        6.1   3s2 3p2 3P0 - 3s2 3p 3d 1P1
175.2630     4.13e+10 Fe X           5.9   3s2 3p5 2P1/2 - 3s2 3p4 3d 2D3/2
