Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+10 (cm-3) 
500.2 to 1599.9 Angstroms
Number of lines:  14831
Minimum intensity =        259397.92
Units are:  photons cm-2 sr-1 s-1
Calculated: 12/Oct/21 20:15:29

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   1.38038e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 
507.1290     9.65e+07 Ne V           5.6   2s2 2p 3p 3D1 - 2s2 2p 4d 3F2
507.1610     5.72e+06 Ar IX          5.9   2s2 2p5 3p 3D2 - 2s2 2p5 3d 3F2
507.2850     9.43e+05 Ar VII         5.6   3p 3d 3P2 - 3d2 3P2
507.3790     2.88e+08 Fe VI          5.2   3p63d3 2D3/2 - 3p63d24s 2F5/2
507.3880     8.54e+10 O III          4.9   2s2 2p2 3P0 - 2s 2p3 3S1
507.3980     5.86e+05 Ar VII         5.6   3p 3d 3P2 - 3d2 3P1
507.6800     2.56e+11 O III          4.9   2s2 2p2 3P1 - 2s 2p3 3S1
507.9060     3.03e+07 N III          5.1   2s 2p2 2P1/2 - 2s 2p 3d 2P1/2
508.0860     1.18e+06 O V            5.4   2p 3d 3D3 - 2p 5p 3P2
508.0890     1.35e+07 N III          5.1   2s 2p2 2P1/2 - 2s 2p 3d 2P3/2
508.1140     1.79e+08 O IV           5.3   2p3 2P1/2 - 2s2 4s 2S1/2
508.1350     3.57e+08 O IV           5.3   2p3 2P3/2 - 2s2 4s 2S1/2
508.1780     4.27e+11 O III          4.9   2s2 2p2 3P2 - 2s 2p3 3S1
508.1790     4.90e+05 O V            5.4   2p 3d 3D2 - 2p 5p 3P1
508.1900     1.47e+07 N III          5.1   2s 2p2 2P3/2 - 2s 2p 3d 2P1/2
508.2890     1.57e+07 Ne V           5.6   2s2 2p 3p 3D2 - 2s2 2p 4d 3F2
508.3740     7.33e+07 N III          5.1   2s 2p2 2P3/2 - 2s 2p 3d 2P3/2
508.4840     2.08e+08 N II           4.7   2s2.2p2 3P1 - 2s2.2p.4s 3P2
508.4850     4.59e+08 Ne V           5.6   2s 2p3 1P1 - 2p4 1S0
508.5990     2.26e+07 Mg III         5.2   2s2 2p5 3s 1P1 - 2s2 2p5 7p 1S0
508.6680     1.61e+08 N II           4.7   2s2.2p2 3P0 - 2s2.2p.4s 3P1
508.6960     6.00e+05 Ne V           5.6   2s2 2p 3d 3F2 - 2s 2p2 3d 1D2
508.6970     6.17e+08 N II           4.7   2s2.2p2 3P2 - 2s2.2p.4s 3P2
508.7260     8.27e+06 S III          4.8   3s2.3p2 1D2 - 3s2.3p.4d 3P2
508.7940     1.19e+08 N II           4.7   2s2.2p2 3P1 - 2s2.2p.4s 3P1
508.8150     3.27e+05 Ar VII         5.6   3p 3d 3P1 - 3d2 3P2
508.8200     1.01e+08 Ne VI          5.7   2s2 3d 2D3/2 - 2s2 4f 2F5/2
508.9020     1.43e+07 Ne V           5.6   2s2 2p 3p 3D3 - 2s2 2p 4d 3F3
508.9280     1.60e+08 N II           4.7   2s2.2p2 3P1 - 2s2.2p.4s 3P0
509.0060     2.00e+08 N II           4.7   2s2.2p2 3P2 - 2s2.2p.4s 3P1
509.0170     7.20e+06 Ne VI          5.7   2s2 3d 2D5/2 - 2s2 4f 2F5/2
509.0170     1.49e+08 Ne VI          5.7   2s2 3d 2D5/2 - 2s2 4f 2F7/2
509.1390     4.01e+05 Ar VII         5.6   3p 3d 3P1 - 3d2 3P0
509.2790     2.20e+07 Ne V           5.6   2s2 2p 3p 3S1 - 2s2 2p 4d 3P1
